,종목명,단축코드,확장코드,기초자산코드
1973,SK하이닉스 SP 2309-2,450T9W6S,KR4450T9W6S4,A000660
1974,SK하이닉스 SP 2309-2,450T9WCS,KR4450T9WCS9,A000660
1975,GS건설     SP 2309-2,451T9TAS,KR4451T9TAS8,A006360
1976,GS건설     SP 2309-2,451T9TBS,KR4451T9TBS6,A006360
1977,GS건설     SP 2309-2,451T9TCS,KR4451T9TCS4,A006360
1978,GS건설     SP 2309-2,451T9V3S,KR4451T9V3S0,A006360
1979,GS건설     SP 2309-2,451T9V6S,KR4451T9V6S3,A006360
1980,GS건설     SP 2309-2,451T9VCS,KR4451T9VCS0,A006360
1981,GS건설     SP 2309-2,451T9W6S,KR4451T9W6S2,A006360
1982,GS건설     SP 2309-2,451T9WCS,KR4451T9WCS8,A006360
1983,이마트     SP 2309-2,454T9TAS,KR4454T9TAS5,A139480
1984,이마트     SP 2309-2,454T9TBS,KR4454T9TBS3,A139480
1985,이마트     SP 2309-2,454T9TCS,KR4454T9TCS1,A139480
1986,이마트     SP 2309-2,454T9V3S,KR4454T9V3S4,A139480
1987,이마트     SP 2309-2,454T9V6S,KR4454T9V6S7,A139480
1988,이마트     SP 2309-2,454T9VCS,KR4454T9VCS7,A139480
1989,이마트     SP 2309-2,454T9W6S,KR4454T9W6S6,A139480
1990,이마트     SP 2309-2,454T9WCS,KR4454T9WCS5,A139480
1991,한국타이어 SP 2309-2,455T9TAS,KR4455T9TAS4,A161390
1992,한국타이어 SP 2309-2,455T9TBS,KR4455T9TBS2,A161390
1993,한국타이어 SP 2309-2,455T9TCS,KR4455T9TCS0,A161390
1994,한국타이어 SP 2309-2,455T9V3S,KR4455T9V3S1,A161390
1995,한국타이어 SP 2309-2,455T9V6S,KR4455T9V6S4,A161390
1996,한국타이어 SP 2309-2,455T9VCS,KR4455T9VCS6,A161390
1997,한국타이어 SP 2309-2,455T9W6S,KR4455T9W6S3,A161390
1998,한국타이어 SP 2309-2,455T9WCS,KR4455T9WCS4,A161390
1999,NAVER      SP 2309-2,456T9TAS,KR4456T9TAS3,A035420
2000,NAVER      SP 2309-2,456T9TBS,KR4456T9TBS1,A035420
2001,NAVER      SP 2309-2,456T9TCS,KR4456T9TCS9,A035420
2002,NAVER      SP 2309-2,456T9V3S,KR4456T9V3S9,A035420
2003,NAVER      SP 2309-2,456T9V6S,KR4456T9V6S2,A035420
2004,NAVER      SP 2309-2,456T9VCS,KR4456T9VCS5,A035420
2005,NAVER      SP 2309-2,456T9W6S,KR4456T9W6S1,A035420
2006,NAVER      SP 2309-2,456T9WCS,KR4456T9WCS3,A035420
2007,대한항공   SP 2309-2,457T9TAS,KR4457T9TAS2,A003490
2008,대한항공   SP 2309-2,457T9TBS,KR4457T9TBS0,A003490
2009,대한항공   SP 2309-2,457T9TCS,KR4457T9TCS8,A003490
2010,대한항공   SP 2309-2,457T9V3S,KR4457T9V3S7,A003490
2011,대한항공   SP 2309-2,457T9V6S,KR4457T9V6S0,A003490
2012,대한항공   SP 2309-2,457T9VCS,KR4457T9VCS4,A003490
2013,대한항공   SP 2309-2,457T9W6S,KR4457T9W6S9,A003490
2014,대한항공   SP 2309-2,457T9WCS,KR4457T9WCS2,A003490
2015,LG유플러스 SP 2309-2,4B0T9TAS,KR44B0T9TAS3,A032640
2016,LG유플러스 SP 2309-2,4B0T9TBS,KR44B0T9TBS1,A032640
2017,LG유플러스 SP 2309-2,4B0T9TCS,KR44B0T9TCS9,A032640
2018,LG유플러스 SP 2309-2,4B0T9V3S,KR44B0T9V3S8,A032640
2019,LG유플러스 SP 2309-2,4B0T9V6S,KR44B0T9V6S1,A032640
2020,LG유플러스 SP 2309-2,4B0T9VCS,KR44B0T9VCS5,A032640
2021,LG유플러스 SP 2309-2,4B0T9W6S,KR44B0T9W6S0,A032640
2022,LG유플러스 SP 2309-2,4B0T9WCS,KR44B0T9WCS3,A032640
2023,S-Oil      SP 2309-2,4B2T9TAS,KR44B2T9TAS1,A010950
2024,S-Oil      SP 2309-2,4B2T9TBS,KR44B2T9TBS9,A010950
2025,S-Oil      SP 2309-2,4B2T9TCS,KR44B2T9TCS7,A010950
2026,S-Oil      SP 2309-2,4B2T9V3S,KR44B2T9V3S4,A010950
2027,S-Oil      SP 2309-2,4B2T9V6S,KR44B2T9V6S7,A010950
2028,S-Oil      SP 2309-2,4B2T9VCS,KR44B2T9VCS3,A010950
2029,S-Oil      SP 2309-2,4B2T9W6S,KR44B2T9W6S6,A010950
2030,S-Oil      SP 2309-2,4B2T9WCS,KR44B2T9WCS1,A010950
2031,고려아연   SP 2309-2,4B3T9TAS,KR44B3T9TAS0,A010130
2032,고려아연   SP 2309-2,4B3T9TBS,KR44B3T9TBS8,A010130
2033,고려아연   SP 2309-2,4B3T9TCS,KR44B3T9TCS6,A010130
2034,고려아연   SP 2309-2,4B3T9V3S,KR44B3T9V3S2,A010130
2035,고려아연   SP 2309-2,4B3T9V6S,KR44B3T9V6S5,A010130
2036,고려아연   SP 2309-2,4B3T9VCS,KR44B3T9VCS2,A010130
2037,고려아연   SP 2309-2,4B3T9W6S,KR44B3T9W6S4,A010130
2038,고려아연   SP 2309-2,4B3T9WCS,KR44B3T9WCS0,A010130
2039,기업은행   SP 2309-2,4B4T9TAS,KR44B4T9TAS9,A024110
2040,기업은행   SP 2309-2,4B4T9TBS,KR44B4T9TBS7,A024110
2041,기업은행   SP 2309-2,4B4T9TCS,KR44B4T9TCS5,A024110
2042,기업은행   SP 2309-2,4B4T9V3S,KR44B4T9V3S0,A024110
2043,기업은행   SP 2309-2,4B4T9V6S,KR44B4T9V6S3,A024110
2044,기업은행   SP 2309-2,4B4T9VCS,KR44B4T9VCS1,A024110
2045,기업은행   SP 2309-2,4B4T9W6S,KR44B4T9W6S2,A024110
2046,기업은행   SP 2309-2,4B4T9WCS,KR44B4T9WCS9,A024110
2047,대상       SP 2309-2,4B6T9TAS,KR44B6T9TAS7,A001680
2048,대상       SP 2309-2,4B6T9TBS,KR44B6T9TBS5,A001680
2049,대상       SP 2309-2,4B6T9TCS,KR44B6T9TCS3,A001680
2050,대상       SP 2309-2,4B6T9V3S,KR44B6T9V3S5,A001680
2051,대상       SP 2309-2,4B6T9V6S,KR44B6T9V6S8,A001680
2052,대상       SP 2309-2,4B6T9VCS,KR44B6T9VCS9,A001680
2053,대상       SP 2309-2,4B6T9W6S,KR44B6T9W6S7,A001680
2054,대상       SP 2309-2,4B6T9WCS,KR44B6T9WCS7,A001680
2055,포스코인터 SP 2309-2,4B7T9TAS,KR44B7T9TAS6,A047050
2056,포스코인터 SP 2309-2,4B7T9TBS,KR44B7T9TBS4,A047050
2057,포스코인터 SP 2309-2,4B7T9TCS,KR44B7T9TCS2,A047050
2058,포스코인터 SP 2309-2,4B7T9V3S,KR44B7T9V3S3,A047050
2059,포스코인터 SP 2309-2,4B7T9V6S,KR44B7T9V6S6,A047050
2060,포스코인터 SP 2309-2,4B7T9VCS,KR44B7T9VCS8,A047050
2061,포스코인터 SP 2309-2,4B7T9W6S,KR44B7T9W6S5,A047050
2062,포스코인터 SP 2309-2,4B7T9WCS,KR44B7T9WCS6,A047050
2063,두산에너빌 SP 2309-2,4B9T9TAS,KR44B9T9TAS4,A034020
2064,두산에너빌 SP 2309-2,4B9T9TBS,KR44B9T9TBS2,A034020
2065,두산에너빌 SP 2309-2,4B9T9TCS,KR44B9T9TCS0,A034020
2066,두산에너빌 SP 2309-2,4B9T9V3S,KR44B9T9V3S9,A034020
2067,두산에너빌 SP 2309-2,4B9T9V6S,KR44B9T9V6S2,A034020
2068,두산에너빌 SP 2309-2,4B9T9VCS,KR44B9T9VCS6,A034020
2069,두산에너빌 SP 2309-2,4B9T9W6S,KR44B9T9W6S1,A034020
2070,두산에너빌 SP 2309-2,4B9T9WCS,KR44B9T9WCS4,A034020
2071,롯데쇼핑   SP 2309-2,4BAT9TAS,KR44BAT9TAS5,A023530
2072,롯데쇼핑   SP 2309-2,4BAT9TBS,KR44BAT9TBS3,A023530
2073,롯데쇼핑   SP 2309-2,4BAT9TCS,KR44BAT9TCS1,A023530
2074,롯데쇼핑   SP 2309-2,4BAT9V3S,KR44BAT9V3S3,A023530
2075,롯데쇼핑   SP 2309-2,4BAT9V6S,KR44BAT9V6S6,A023530
2076,롯데쇼핑   SP 2309-2,4BAT9VCS,KR44BAT9VCS7,A023530
2077,롯데쇼핑   SP 2309-2,4BAT9W6S,KR44BAT9W6S5,A023530
2078,롯데쇼핑   SP 2309-2,4BAT9WCS,KR44BAT9WCS5,A023530
2079,롯데케미칼 SP 2309-2,4BBT9TAS,KR44BBT9TAS4,A011170
2080,롯데케미칼 SP 2309-2,4BBT9TBS,KR44BBT9TBS2,A011170
2081,롯데케미칼 SP 2309-2,4BBT9TCS,KR44BBT9TCS0,A011170
2082,롯데케미칼 SP 2309-2,4BBT9V3S,KR44BBT9V3S1,A011170
2083,롯데케미칼 SP 2309-2,4BBT9V6S,KR44BBT9V6S4,A011170
2084,롯데케미칼 SP 2309-2,4BBT9VCS,KR44BBT9VCS6,A011170
2085,롯데케미칼 SP 2309-2,4BBT9W6S,KR44BBT9W6S3,A011170
2086,롯데케미칼 SP 2309-2,4BBT9WCS,KR44BBT9WCS4,A011170
2087,삼성생명   SP 2309-2,4BDT9TAS,KR44BDT9TAS2,A032830
2088,삼성생명   SP 2309-2,4BDT9TBS,KR44BDT9TBS0,A032830
2089,삼성생명   SP 2309-2,4BDT9TCS,KR44BDT9TCS8,A032830
2090,삼성생명   SP 2309-2,4BDT9V3S,KR44BDT9V3S7,A032830
2091,삼성생명   SP 2309-2,4BDT9V6S,KR44BDT9V6S0,A032830
2092,삼성생명   SP 2309-2,4BDT9VCS,KR44BDT9VCS4,A032830
2093,삼성생명   SP 2309-2,4BDT9W6S,KR44BDT9W6S9,A032830
2094,삼성생명   SP 2309-2,4BDT9WCS,KR44BDT9WCS2,A032830
2095,삼성중공업 SP 2309-2,4BFT9TAS,KR44BFT9TAS0,A010140
2096,삼성중공업 SP 2309-2,4BFT9TBS,KR44BFT9TBS8,A010140
2097,삼성중공업 SP 2309-2,4BFT9TCS,KR44BFT9TCS6,A010140
2098,삼성중공업 SP 2309-2,4BFT9V3S,KR44BFT9V3S2,A010140
2099,삼성중공업 SP 2309-2,4BFT9V6S,KR44BFT9V6S5,A010140
2100,삼성중공업 SP 2309-2,4BFT9VCS,KR44BFT9VCS2,A010140
2101,삼성중공업 SP 2309-2,4BFT9W6S,KR44BFT9W6S4,A010140
2102,삼성중공업 SP 2309-2,4BFT9WCS,KR44BFT9WCS0,A010140
2103,삼성카드   SP 2309-2,4BGT9TAS,KR44BGT9TAS9,A029780
2104,삼성카드   SP 2309-2,4BGT9TBS,KR44BGT9TBS7,A029780
2105,삼성카드   SP 2309-2,4BGT9TCS,KR44BGT9TCS5,A029780
2106,삼성카드   SP 2309-2,4BGT9V3S,KR44BGT9V3S0,A029780
2107,삼성카드   SP 2309-2,4BGT9V6S,KR44BGT9V6S3,A029780
2108,삼성카드   SP 2309-2,4BGT9VCS,KR44BGT9VCS1,A029780
2109,삼성카드   SP 2309-2,4BGT9W6S,KR44BGT9W6S2,A029780
2110,삼성카드   SP 2309-2,4BGT9WCS,KR44BGT9WCS9,A029780
2111,한화에어로 SP 2309-2,4BHT9TAS,KR44BHT9TAS8,A012450
2112,한화에어로 SP 2309-2,4BHT9TBS,KR44BHT9TBS6,A012450
2113,한화에어로 SP 2309-2,4BHT9TCS,KR44BHT9TCS4,A012450
2114,한화에어로 SP 2309-2,4BHT9V3S,KR44BHT9V3S8,A012450
2115,한화에어로 SP 2309-2,4BHT9V6S,KR44BHT9V6S1,A012450
2116,한화에어로 SP 2309-2,4BHT9VCS,KR44BHT9VCS0,A012450
2117,한화에어로 SP 2309-2,4BHT9W6S,KR44BHT9W6S0,A012450
2118,한화에어로 SP 2309-2,4BHT9WCS,KR44BHT9WCS8,A012450
2119,엔씨소프트 SP 2309-2,4BJT9TAS,KR44BJT9TAS6,A036570
2120,엔씨소프트 SP 2309-2,4BJT9TBS,KR44BJT9TBS4,A036570
2121,엔씨소프트 SP 2309-2,4BJT9TCS,KR44BJT9TCS2,A036570
2122,엔씨소프트 SP 2309-2,4BJT9V3S,KR44BJT9V3S4,A036570
2123,엔씨소프트 SP 2309-2,4BJT9V6S,KR44BJT9V6S7,A036570
2124,엔씨소프트 SP 2309-2,4BJT9VCS,KR44BJT9VCS8,A036570
2125,엔씨소프트 SP 2309-2,4BJT9W6S,KR44BJT9W6S6,A036570
2126,엔씨소프트 SP 2309-2,4BJT9WCS,KR44BJT9WCS6,A036570
2127,하이트진로 SP 2309-2,4BKT9TAS,KR44BKT9TAS3,A000080
2128,하이트진로 SP 2309-2,4BKT9TBS,KR44BKT9TBS1,A000080
2129,하이트진로 SP 2309-2,4BKT9TCS,KR44BKT9TCS9,A000080
2130,하이트진로 SP 2309-2,4BKT9V3S,KR44BKT9V3S2,A000080
2131,하이트진로 SP 2309-2,4BKT9V6S,KR44BKT9V6S5,A000080
2132,하이트진로 SP 2309-2,4BKT9VCS,KR44BKT9VCS5,A000080
2133,하이트진로 SP 2309-2,4BKT9W6S,KR44BKT9W6S4,A000080
2134,하이트진로 SP 2309-2,4BKT9WCS,KR44BKT9WCS3,A000080
2135,한국금융지 SP 2309-2,4BLT9TAS,KR44BLT9TAS2,A071050
2136,한국금융지 SP 2309-2,4BLT9TBS,KR44BLT9TBS0,A071050
2137,한국금융지 SP 2309-2,4BLT9TCS,KR44BLT9TCS8,A071050
2138,한국금융지 SP 2309-2,4BLT9V3S,KR44BLT9V3S0,A071050
2139,한국금융지 SP 2309-2,4BLT9V6S,KR44BLT9V6S3,A071050
2140,한국금융지 SP 2309-2,4BLT9VCS,KR44BLT9VCS4,A071050
2141,한국금융지 SP 2309-2,4BLT9W6S,KR44BLT9W6S2,A071050
2142,한국금융지 SP 2309-2,4BLT9WCS,KR44BLT9WCS2,A071050
2143,한국항공우 SP 2309-2,4BMT9TAS,KR44BMT9TAS1,A047810
2144,한국항공우 SP 2309-2,4BMT9TBS,KR44BMT9TBS9,A047810
2145,한국항공우 SP 2309-2,4BMT9TCS,KR44BMT9TCS7,A047810
2146,한국항공우 SP 2309-2,4BMT9V3S,KR44BMT9V3S8,A047810
2147,한국항공우 SP 2309-2,4BMT9V6S,KR44BMT9V6S1,A047810
2148,한국항공우 SP 2309-2,4BMT9VCS,KR44BMT9VCS3,A047810
2149,한국항공우 SP 2309-2,4BMT9W6S,KR44BMT9W6S0,A047810
2150,한국항공우 SP 2309-2,4BMT9WCS,KR44BMT9WCS1,A047810
2151,현대건설   SP 2309-2,4BNT9TAS,KR44BNT9TAS0,A000720
2152,현대건설   SP 2309-2,4BNT9TBS,KR44BNT9TBS8,A000720
2153,현대건설   SP 2309-2,4BNT9TCS,KR44BNT9TCS6,A000720
2154,현대건설   SP 2309-2,4BNT9V3S,KR44BNT9V3S6,A000720
2155,현대건설   SP 2309-2,4BNT9V6S,KR44BNT9V6S9,A000720
2156,현대건설   SP 2309-2,4BNT9VCS,KR44BNT9VCS2,A000720
2157,현대건설   SP 2309-2,4BNT9W6S,KR44BNT9W6S8,A000720
2158,현대건설   SP 2309-2,4BNT9WCS,KR44BNT9WCS0,A000720
2159,현대위아   SP 2309-2,4BPT9TAS,KR44BPT9TAS8,A011210
2160,현대위아   SP 2309-2,4BPT9TBS,KR44BPT9TBS6,A011210
2161,현대위아   SP 2309-2,4BPT9TCS,KR44BPT9TCS4,A011210
2162,현대위아   SP 2309-2,4BPT9V3S,KR44BPT9V3S1,A011210
2163,현대위아   SP 2309-2,4BPT9V6S,KR44BPT9V6S4,A011210
2164,현대위아   SP 2309-2,4BPT9VCS,KR44BPT9VCS0,A011210
2165,현대위아   SP 2309-2,4BPT9W6S,KR44BPT9W6S3,A011210
2166,현대위아   SP 2309-2,4BPT9WCS,KR44BPT9WCS8,A011210
2167,호텔신라   SP 2309-2,4BQT9TAS,KR44BQT9TAS7,A008770
2168,호텔신라   SP 2309-2,4BQT9TBS,KR44BQT9TBS5,A008770
2169,호텔신라   SP 2309-2,4BQT9TCS,KR44BQT9TCS3,A008770
2170,호텔신라   SP 2309-2,4BQT9V3S,KR44BQT9V3S9,A008770
2171,호텔신라   SP 2309-2,4BQT9V6S,KR44BQT9V6S2,A008770
2172,호텔신라   SP 2309-2,4BQT9VCS,KR44BQT9VCS9,A008770
2173,호텔신라   SP 2309-2,4BQT9W6S,KR44BQT9W6S1,A008770
2174,호텔신라   SP 2309-2,4BQT9WCS,KR44BQT9WCS7,A008770
2175,강원랜드   SP 2309-2,4BST9TAS,KR44BST9TAS5,A035250
2176,강원랜드   SP 2309-2,4BST9TBS,KR44BST9TBS3,A035250
2177,강원랜드   SP 2309-2,4BST9TCS,KR44BST9TCS1,A035250
2178,강원랜드   SP 2309-2,4BST9V3S,KR44BST9V3S5,A035250
2179,강원랜드   SP 2309-2,4BST9V6S,KR44BST9V6S8,A035250
2180,강원랜드   SP 2309-2,4BST9VCS,KR44BST9VCS7,A035250
2181,강원랜드   SP 2309-2,4BST9W6S,KR44BST9W6S7,A035250
2182,강원랜드   SP 2309-2,4BST9WCS,KR44BST9WCS5,A035250
2183,BNK금융지  SP 2309-2,4BTT9TAS,KR44BTT9TAS4,A138930
2184,BNK금융지  SP 2309-2,4BTT9TBS,KR44BTT9TBS2,A138930
