,종목명,단축코드,확장코드,ETF구분(1:ETF|2:ETN),상한가,하한가,전일가,주문수량단위,기준가,구분(1:코스피|2:코스닥),증권그룹,기업인수목적회사여부,filler(미사용)
1525,지니너스,389030,KR7389030008,0,6040,3255,4650,00001,4650,2,01,N,
1526,포바이포,389140,KR7389140005,0,13230,7130,10180,00001,10180,2,01,N,
1527,대명에너지,389260,KR7389260001,0,33200,17900,25550,00001,25550,2,01,N,
1528,인벤티지랩,389470,KR7389470006,0,29500,15900,22700,00001,22700,2,01,N,
1529,에스비비테크,389500,KR7389500000,0,59200,31900,45550,00001,45550,2,01,N,
1530,엔에이치스팩20호,391060,KR7391060001,0,13000,7000,10000,00001,10000,2,01,Y,
1531,코닉오토메이션,391710,KR7391710001,0,5380,2905,4145,00001,4145,2,01,N,
1532,토마토시스템,393210,KR7393210000,0,6380,3440,4910,00001,4910,2,01,N,
1533,신한제8호스팩,393360,KR7393360003,0,3020,1630,2325,00001,2325,2,01,Y,
1534,더블유씨피,393890,KR7393890009,0,80900,43700,62300,00001,62300,2,01,N,
1535,오픈엣지테크놀로지,394280,KR7394280002,0,25450,13720,19600,00001,19600,2,01,N,
1536,넥스트칩,396270,KR7396270001,0,26350,14250,20300,00001,20300,2,01,N,
1537,세아메카닉스,396300,KR7396300006,0,6070,3270,4670,00001,4670,2,01,N,
1538,에이프릴바이오,397030,KR7397030008,0,29250,15750,22500,00001,22500,2,01,N,
1539,교보11호스팩,397880,KR7397880006,0,2980,1610,2295,00001,2295,2,01,Y,
1540,가온칩스,399720,KR7399720002,0,62300,33600,47950,00001,47950,2,01,N,
1541,하나금융20호스팩,400560,KR7400560009,0,3620,1950,2785,00001,2785,2,01,Y,
1542,하이제7호스팩,400840,KR7400840005,0,2700,1460,2080,00001,2080,2,01,Y,
1543,코난테크놀로지,402030,KR7402030001,0,95400,51400,73400,00001,73400,2,01,N,
1544,HPSP,403870,KR7403870009,0,44900,24200,34550,00001,34550,2,01,N,
1545,DB금융스팩10호,404950,KR7404950008,0,2755,1485,2120,00001,2120,2,01,Y,
1546,플라즈맵,405000,KR7405000001,0,7220,3900,5560,00001,5560,2,01,N,
1547,큐알티,405100,KR7405100009,0,17120,9220,13170,00001,13170,2,01,N,
1548,IBKS제17호스팩,405350,KR7405350000,0,4300,2320,3310,00001,3310,2,01,Y,
1549,신한제9호스팩,405640,KR7405640004,0,2925,1575,2250,00001,2250,2,01,Y,
1550,나라셀라,405920,KR7405920000,0,8720,4700,6710,00001,6710,2,01,N,
1551,하나금융21호스팩,406760,KR7406760009,0,2720,1470,2095,00001,2095,2,01,Y,
1552,뷰티스킨,406820,KR7406820001,0,35100,18900,27000,00001,27000,2,01,N,
1553,꿈비,407400,KR7407400001,0,12870,6930,9900,00001,9900,2,01,N,
1554,스튜디오미르,408900,KR7408900009,0,34550,18650,26600,00001,26600,2,01,N,
1555,메쎄이상,408920,KR7408920007,0,4145,2235,3190,00001,3190,2,01,N,
1556,샌즈랩,411080,KR7411080005,0,13670,7370,10520,00001,10520,2,01,N,
1557,레이저쎌,412350,KR7412350001,0,17520,9440,13480,00001,13480,2,01,N,
1558,미래에셋비전스팩1호,412930,KR7412930000,0,2710,1460,2085,00001,2085,2,01,Y,
1559,키움제6호스팩,413600,KR7413600008,0,2755,1485,2120,00001,2120,2,01,Y,
1560,유진스팩8호,413630,KR7413630005,0,2780,1500,2140,00001,2140,2,01,Y,
1561,상상인제3호스팩,415580,KR7415580000,0,3070,1660,2365,00001,2365,2,01,Y,
1562,나노팀,417010,KR7417010006,0,27800,15000,21400,00001,21400,2,01,N,
1563,핑거스토리,417180,KR7417180007,0,5230,2825,4030,00001,4030,2,01,N,
1564,제이아이테크,417500,KR7417500006,0,5790,3120,4455,00001,4455,2,01,N,
1565,트루엔,417790,KR7417790003,0,16060,8660,12360,00001,12360,2,01,N,
1566,저스템,417840,KR7417840006,0,20000,10780,15390,00001,15390,2,01,N,
1567,오브젠,417860,KR7417860004,0,51000,27550,39300,00001,39300,2,01,N,
1568,모델솔루션,417970,KR7417970001,0,24450,13180,18820,00001,18820,2,01,N,
1569,하나금융22호스팩,418170,KR7418170007,0,2755,1485,2120,00001,2120,2,01,Y,
1570,신한제10호스팩,418210,KR7418210001,0,2840,1530,2185,00001,2185,2,01,Y,
1571,시큐레터,418250,KR7418250007,0,34800,18800,26800,00001,26800,2,01,N,
1572,라온텍,418420,KR7418420006,0,11470,6190,8830,00001,8830,2,01,N,
1573,제이오,418550,KR7418550000,0,39100,21100,30100,00001,30100,2,01,N,
1574,삼기이브이,419050,KR7419050000,0,7720,4160,5940,00001,5940,2,01,N,
1575,엔젯,419080,KR7419080007,0,20450,11020,15740,00001,15740,2,01,N,
